||CHANNELNAMES||	"Abs-R110"
380 0.144082793954289
382.008032128514 0.151928088456485
384.016064257028 0.156339081179174
386.024096385542 0.161333655771645
388.032128514056 0.168929898000202
390.04016064257 0.175074758968477
392.048192771084 0.176750149778526
394.056224899598 0.188280342079316
396.064257028112 0.186589987137201
398.072289156626 0.191304862213726
400.080321285141 0.197869311878546
402.088353413655 0.205454896977598
404.096385542169 0.208558428828393
406.104417670683 0.218067945279008
408.112449799197 0.222895538718479
410.120481927711 0.224820240425437
412.128514056225 0.231804170085606
414.136546184739 0.236072230050279
416.144578313253 0.247657822152776
418.152610441767 0.249568697415972
420.160642570281 0.251134156775976
422.168674698795 0.25531339217508
424.176706827309 0.267377572074459
426.184738955823 0.265772929688828
428.192771084337 0.273063611215172
430.200803212851 0.27730918364589
432.208835341365 0.28157144074051
434.21686746988 0.284107584722434
436.224899598394 0.29453296978374
438.232931726908 0.296483793352335
440.240963855422 0.30321011592781
442.248995983936 0.302911448775667
444.25702811245 0.313063391920315
446.265060240964 0.313756832056343
448.273092369478 0.320315463712097
450.281124497992 0.320620979787983
452.289156626506 0.32789757840035
454.29718875502 0.330917182038179
456.305220883534 0.336095116998904
458.313253012048 0.341097101037262
460.321285140562 0.340869139821436
462.329317269076 0.345082783993566
464.33734939759 0.347747034999357
466.345381526104 0.356093169489294
468.353413654619 0.356184346024091
470.361445783133 0.355916838040351
472.369477911647 0.355731991478511
474.377510040161 0.362955454197464
476.385542168675 0.364138819488301
478.393574297189 0.362853111365634
480.401606425703 0.359418012121716
482.409638554217 0.362199866555867
484.417670682731 0.358751842366456
486.425702811245 0.358952822457454
488.433734939759 0.359863793732035
490.441767068273 0.35477984241985
492.449799196787 0.347754785293041
494.457831325301 0.349282614623006
496.465863453815 0.339140969443299
498.473895582329 0.336597767658506
500.481927710843 0.333369667625609
502.489959839357 0.320846702895997
504.497991967871 0.313414740574713
506.506024096386 0.301493022261752
508.5140562249 0.29826033783297
510.522088353414 0.283781026598356
512.530120481928 0.267225533791093
514.538152610442 0.257260673837224
516.546184738956 0.245321162898159
518.55421686747 0.232876042245897
520.562248995984 0.221815162326099
522.570281124498 0.205419352861029
524.578313253012 0.194356471321931
526.586345381526 0.179820475665028
528.59437751004 0.16726035683368
530.602409638554 0.153463382131201
532.610441767068 0.140528709639909
534.618473895582 0.126460818259577
536.626506024096 0.116577566019794
538.634538152611 0.107228612360943
540.642570281125 0.0925371014585692
542.650602409639 0.0927957398389842
544.658634538153 0.0772812729902292
546.666666666667 0.0743726615826254
548.674698795181 0.0632914454855517
550.682730923695 0.052434306167887
552.690763052209 0.054403540401842
554.698795180723 0.046509712861165
556.706827309237 0.037366085802539
558.714859437751 0.0333369377451767
560.722891566265 0.0223708936229121
562.730923694779 0.0312065161259555
564.738955823293 0.026706665118272
566.746987951807 0.0204113736900739
568.755020080321 0.0157114055059872
570.763052208835 0.0134632157057754
572.771084337349 0.0148276409826046
574.779116465863 0.0123179603401454
576.787148594378 0.00959869229502475
578.795180722892 0.00995476580511457
580.803212851406 0.00598820954066339
582.81124497992 0.00494064649969846
584.819277108434 0.00417253833161158
586.827309236948 0.00432731744893641
588.835341365462 0.00762972139448693
590.843373493976 0.000711887752752766
592.85140562249 -0.00200674910689641
594.859437751004 0.00807897192276419
