||CHANNELNAMES||	"PL-RB"
380 -0.0100513320435801
382.008032128514 -0.000657738687783543
384.016064257028 -0.0017189913606823
386.024096385542 0.00416276927818378
388.032128514056 0.00420464217377503
390.04016064257 -0.00779240670588632
392.048192771084 0.00674984790383627
394.056224899598 -0.000720639117098269
396.064257028112 -0.000334118057669622
398.072289156626 0.00718071223768895
400.080321285141 -0.00381209450139541
402.088353413655 0.00706282753908774
404.096385542169 -0.00924448851603833
406.104417670683 7.156727854916E-05
408.112449799197 0.00345210621854768
410.120481927711 0.00310070872539379
412.128514056225 -0.00906073243776532
414.136546184739 0.00610058947524411
416.144578313253 0.00161168528534838
418.152610441767 -0.00806426803949351
420.160642570281 0.0140295617619602
422.168674698795 -0.00217472458302842
424.176706827309 -0.000804275174991822
426.184738955823 -0.00800720166471294
428.192771084337 0.00560909935664936
430.200803212851 -8.03404446490366E-05
432.208835341365 -0.000387533280240573
434.21686746988 -0.0016066591073128
436.224899598394 -0.00223688271226097
438.232931726908 0.00117568026532966
440.240963855422 -0.00805421786512829
442.248995983936 -0.00786093425029067
444.25702811245 0.00770213741025055
446.265060240964 0.00384557054944324
448.273092369478 -0.00501462769342062
450.281124497992 -0.00366098591279092
452.289156626506 0.00133777973944429
454.29718875502 -0.0101745699487291
456.305220883534 0.00431176232698651
458.313253012048 0.00333827741593332
460.321285140562 0.00922695280566434
462.329317269076 -0.00169378327514632
464.33734939759 0.00579374253992708
466.345381526104 0.00557482095835795
468.353413654619 0.00379230834529183
470.361445783133 0.00298583540526393
472.369477911647 -0.00512484964330881
474.377510040161 0.00500781447221616
476.385542168675 -0.0010376680591068
478.393574297189 0.0131484345487412
480.401606425703 0.00633062378225443
482.409638554217 -0.00586812484056414
484.417670682731 -0.00971435016098897
486.425702811245 0.00242502749434443
488.433734939759 0.00712620055929106
490.441767068273 0.00532837232668505
492.449799196787 -0.0024561186363056
494.457831325301 -0.0032998177457161
496.465863453815 -0.00577796352902426
498.473895582329 0.00960039878900687
500.481927710843 0.00909666491363153
502.489959839357 0.00350397901674259
504.497991967871 0.00650030689092628
506.506024096386 0.0010207187064559
508.5140562249 0.00689510783891583
510.522088353414 0.00186438663110026
512.530120481928 -0.00616422604238585
514.538152610442 0.0078701129991254
516.546184738956 0.0135235005626724
518.55421686747 0.00342775394600388
520.562248995984 0.0134113392972607
522.570281124498 0.0175161882096562
524.578313253012 0.0140531791030738
526.586345381526 0.0119683933420742
528.59437751004 0.0155522275176763
530.602409638554 0.0170623879017283
532.610441767068 0.0364808305055547
534.618473895582 0.0325521557523784
536.626506024096 0.0413705142849243
538.634538152611 0.0411392214482689
540.642570281125 0.042703174965443
542.650602409639 0.0520020862129278
544.658634538153 0.0632180736629175
546.666666666667 0.0670016108607365
548.674698795181 0.0776178830846817
550.682730923695 0.093579633510486
552.690763052209 0.102943126348597
554.698795180723 0.116018342242133
556.706827309237 0.134285789821467
558.714859437751 0.144795940073208
560.722891566265 0.165160155948552
562.730923694779 0.18355158478094
564.738955823293 0.206461006751222
566.746987951807 0.224627258118133
568.755020080321 0.246543971101865
570.763052208835 0.265021308738823
572.771084337349 0.278710326862553
574.779116465863 0.323189697867091
576.787148594378 0.333747596519658
578.795180722892 0.376671764027392
580.803212851406 0.404499964497897
582.81124497992 0.431238207096123
584.819277108434 0.441956187682548
