||CHANNELNAMES||	"PL-R110"
380 0.00205327790272423
382.008032128514 -0.000555935616234925
384.016064257028 -0.00111859275927332
386.024096385542 0.00103550241819453
388.032128514056 0.00408797511804154
390.04016064257 -0.0011147153935279
392.048192771084 0.00566688942457122
394.056224899598 -0.00391930036826988
396.064257028112 0.00960124827603777
398.072289156626 0.00143979855053284
400.080321285141 0.00430114675195617
402.088353413655 0.00364786514805761
404.096385542169 0.00329399266151439
406.104417670683 0.00476913558934072
408.112449799197 0.00882608306315457
410.120481927711 1.73062867079987E-05
412.128514056225 -0.000836011537265137
414.136546184739 0.000677016948034097
416.144578313253 0.00154348272676927
418.152610441767 0.0105658512394648
420.160642570281 0.00233698143137887
422.168674698795 -0.00306568842108571
424.176706827309 -0.000494582479954168
426.184738955823 -0.00110112064331367
428.192771084337 0.00399847269100299
430.200803212851 0.0102448643814603
432.208835341365 -0.00823679251942705
434.21686746988 0.00819262372954264
436.224899598394 0.00741309574641454
438.232931726908 -0.0036915564469336
440.240963855422 0.00102545229087652
442.248995983936 -0.0143669204172012
444.25702811245 0.000404207898934436
446.265060240964 -0.00572231341704046
448.273092369478 0.00974674200795161
450.281124497992 0.000284874311613372
452.289156626506 0.00761977549761882
454.29718875502 0.00696718416966252
456.305220883534 -0.00437461886131869
458.313253012048 0.00211379179800624
460.321285140562 -2.80539703553964E-05
462.329317269076 0.00439670810084896
464.33734939759 0.00583420124017491
466.345381526104 0.00666265617196093
468.353413654619 0.00478291736775027
470.361445783133 0.00986741042260508
472.369477911647 -0.00350555476398126
474.377510040161 -0.00370581110243301
476.385542168675 0.00484090720532919
478.393574297189 0.00184255173273485
480.401606425703 0.0136835974952558
482.409638554217 0.0117777423636898
484.417670682731 0.0186442916155384
486.425702811245 0.0121217857934006
488.433734939759 0.0175958637612408
490.441767068273 0.0242031193590085
492.449799196787 0.0208837391276275
494.457831325301 0.0266866188033296
496.465863453815 0.0381591617498178
498.473895582329 0.0449780048609419
500.481927710843 0.0514123039066813
502.489959839357 0.051813016091648
504.497991967871 0.0545663634443189
506.506024096386 0.0674080586680891
508.5140562249 0.0807557176398931
510.522088353414 0.0794992845766016
512.530120481928 0.101318552343308
514.538152610442 0.119176339026114
516.546184738956 0.128540141120148
518.55421686747 0.153195477155622
520.562248995984 0.161653201345101
522.570281124498 0.189339221971735
524.578313253012 0.201248662621839
526.586345381526 0.219885401520475
528.59437751004 0.249083164699256
530.602409638554 0.258243570693589
532.610441767068 0.296807591936433
534.618473895582 0.318697662226526
536.626506024096 0.337941676512227
538.634538152611 0.37056951621185
540.642570281125 0.391933689752592
542.650602409639 0.419162919227681
544.658634538153 0.442936753796151
546.666666666667 0.476334866804961
548.674698795181 0.484634871497198
550.682730923695 0.511986145107436
552.690763052209 0.53498524241119
554.698795180723 0.548084385454788
556.706827309237 0.557062345440384
558.714859437751 0.572143154020193
560.722891566265 0.567447308989751
562.730923694779 0.574072849801921
564.738955823293 0.575017360529037
566.746987951807 0.569838438852389
568.755020080321 0.563636921686826
570.763052208835 0.534283734345659
572.771084337349 0.526998906593849
574.779116465863 0.502536345769139
576.787148594378 0.485909624630491
578.795180722892 0.476428376656287
580.803212851406 0.45152009384633
582.81124497992 0.43246753875279
584.819277108434 0.406771694772864
586.827309236948 0.396630111063526
588.835341365462 0.37970196734273
590.843373493976 0.367460063704563
592.85140562249 0.367320499035621
594.859437751004 0.356054735100205
596.867469879518 0.366418164931652
598.875502008032 0.368605362931569
600.883534136546 0.373460437955074
602.89156626506 0.376254386059721
604.899598393574 0.377158949458166
606.907630522088 0.384955374213782
608.915662650602 0.389934772962099
610.923694779116 0.402769155941194
612.93172690763 0.400452478668814
614.939759036145 0.405977975400839
616.947791164659 0.414324928678337
618.955823293173 0.41221030569425
620.963855421687 0.418670235678035
622.971887550201 0.419920902707732
624.979919678715 0.42639734362203
626.987951807229 0.414024363245103
628.995983935743 0.413731778812664
631.004016064257 0.396646186399452
633.012048192771 0.396621235189812
635.020080321285 0.386296560114537
637.028112449799 0.384034084398952
639.036144578313 0.367597608884299
641.044176706827 0.364256051696343
643.052208835341 0.345865959728093
645.060240963855 0.330621927158116
647.06827309237 0.327117394182847
649.076305220884 0.325495506140908
651.084337349398 0.313879056889078
653.092369477912 0.296662811194489
655.100401606426 0.281526053265255
657.10843373494 0.271828155548987
659.116465863454 0.273919683877826
661.124497991968 0.266703599367702
663.132530120482 0.248071111601035
665.140562248996 0.2356812041125
667.14859437751 0.235302600506127
669.156626506024 0.240795073511403
671.164658634538 0.232987221314597
673.172690763052 0.218412908603162
675.180722891566 0.205593109489379
677.18875502008 0.220642821251545
679.196787148594 0.20918520033993
681.204819277109 0.201525807238654
683.212851405623 0.203895296959806
685.220883534137 0.192943022339775
687.228915662651 0.191297340041642
689.236947791165 0.180834019645655
691.244979919679 0.192727289858139
693.253012048193 0.182936653594393
