||CHANNELNAMES||	"Abs-RB"
380 0.0380267640081705
382.008032128514 0.0394889740546065
384.016064257028 0.0485376523528417
386.024096385542 0.0451225290339644
388.032128514056 0.044849326686966
390.04016064257 0.0525624562931202
392.048192771084 0.0545752285930976
394.056224899598 0.0430744928122571
396.064257028112 0.0504383712557562
398.072289156626 0.0520972583159035
400.080321285141 0.0567220386395726
402.088353413655 0.0569518646499244
404.096385542169 0.0532501611305804
406.104417670683 0.0557809010890215
408.112449799197 0.0630104765906195
410.120481927711 0.0613793004402915
412.128514056225 0.0593671835251334
414.136546184739 0.0652067782519837
416.144578313253 0.065438404541503
418.152610441767 0.0661131811603249
420.160642570281 0.0740675937292106
422.168674698795 0.0685742743399305
424.176706827309 0.0773637579439548
426.184738955823 0.0798930855838039
428.192771084337 0.080133268338462
430.200803212851 0.0849451886823541
432.208835341365 0.0935997667359004
434.21686746988 0.094295898787307
436.224899598394 0.0959167387637049
438.232931726908 0.100735169908995
440.240963855422 0.109792897979471
442.248995983936 0.115623727263236
444.25702811245 0.122754925464383
446.265060240964 0.118665962868425
448.273092369478 0.121395803282568
450.281124497992 0.132698138118242
452.289156626506 0.143331796943496
454.29718875502 0.148818996022066
456.305220883534 0.153927340289501
458.313253012048 0.163663525857608
460.321285140562 0.172856882043687
462.329317269076 0.176213271184596
464.33734939759 0.186981658744373
466.345381526104 0.191714169402352
468.353413654619 0.202594876972303
470.361445783133 0.212090350234971
472.369477911647 0.223512376938546
474.377510040161 0.235586535206135
476.385542168675 0.243695149852821
478.393574297189 0.25442454281457
480.401606425703 0.261953645190924
482.409638554217 0.267203971099175
484.417670682731 0.275819351045352
486.425702811245 0.288327640383102
488.433734939759 0.298081338333271
490.441767068273 0.306170385552252
492.449799196787 0.314307441309085
494.457831325301 0.326053628116611
496.465863453815 0.333478808514011
498.473895582329 0.347793329337065
500.481927710843 0.35212302167245
502.489959839357 0.361456517439896
504.497991967871 0.369890381714998
506.506024096386 0.381762062581941
508.5140562249 0.378195355067013
510.522088353414 0.389271193513892
512.530120481928 0.397521478405512
514.538152610442 0.402810639419748
516.546184738956 0.410532385847963
518.55421686747 0.409724453891771
520.562248995984 0.420282648613166
522.570281124498 0.424771681918057
524.578313253012 0.428051497166329
526.586345381526 0.428041654921704
528.59437751004 0.428380752689844
530.602409638554 0.434020081890953
532.610441767068 0.43517035457186
534.618473895582 0.436173087987679
536.626506024096 0.443811338621126
538.634538152611 0.440418594590476
540.642570281125 0.435435167762771
542.650602409639 0.428805357955012
544.658634538153 0.433906111309971
546.666666666667 0.420834696515495
548.674698795181 0.417573591391113
550.682730923695 0.416271415036424
552.690763052209 0.411905882879973
554.698795180723 0.406099403111012
556.706827309237 0.398433223438242
558.714859437751 0.388147752061814
560.722891566265 0.381311275894036
562.730923694779 0.371618978299388
564.738955823293 0.360123778429866
566.746987951807 0.357060530212051
568.755020080321 0.346897474277062
570.763052208835 0.330525002584887
572.771084337349 0.315806864841552
574.779116465863 0.300137076794268
576.787148594378 0.285803068046339
578.795180722892 0.281455993690373
580.803212851406 0.264657418981959
582.81124497992 0.256304881214689
584.819277108434 0.23858113026315
586.827309236948 0.224957158087929
588.835341365462 0.203773802119969
590.843373493976 0.187744656547229
592.85140562249 0.163189860702275
594.859437751004 0.155644697859344
596.867469879518 0.138863100051599
598.875502008032 0.125640734385178
600.883534136546 0.120055296598263
602.89156626506 0.0996300840334667
604.899598393574 0.0946257356729325
606.907630522088 0.0886957097404514
608.915662650602 0.0754592555117142
610.923694779116 0.068134889568788
612.93172690763 0.064360171665377
614.939759036145 0.0517194628649881
616.947791164659 0.0495264273677571
